# range -128..128
# sum of line must not exceed the range!

#Lanczos 2 on x
#Scanlines from my zfast curve shader

# horizontal coefficients
   0, 128,   0,   0
  -4, 126,   6,  -0
  -8, 124,  13,  -1
 -10, 118,  21,  -1
 -11, 111,  30,  -2
 -11, 103,  40,  -4
 -11,  93,  51,  -5
 -10,  83,  62,  -7
  -8,  72,  72,  -8
  -7,  62,  83, -10
  -5,  51,  93, -11
  -4,  40, 103, -11
  -2,  30, 111, -11
  -1,  21, 118, -10
  -1,  13, 124,  -8
  -0,   6, 126,  -4


# vertical coefficients
   0, 128,   0,   0
  -4, 126,   6,  -0
  -7, 120,  12,  -1
  -9, 111,  19,  -1
 -10,  99,  26,  -2
  -9,  85,  33,  -3
  -8,  71,  38,  -4
  -7,  59,  43,  -5
  -5,  49,  49,  -5
  -5,  43,  59,  -7
  -4,  38,  71,  -8
  -3,  33,  85,  -9
  -2,  26,  99, -10
  -1,  19, 111,  -9
  -1,  12, 120,  -7
  -0,   6, 126,  -4


